ID	title	language	publisher	region	release_date	serial	version
ULES-00337	Infected	English	N/A	PAL	N/A	ULES-00337	N/A
ULES-00338	Infected	English / French / Spanish	N/A	PAL	N/A	ULES-00338	N/A
ULES-00339	Me & My Katamari	English	N/A	PAL	N/A	ULES-00339	N/A
ULES-00340	FIFA World Cup Germany 2006	English	N/A	PAL	N/A	ULES-00340	N/A
ULES-00341	FIFA World Cup Germany 2006	French	N/A	PAL	N/A	ULES-00341	N/A
ULES-00342	FIFA Fussball-Weltmeisterschaft Deutschland 2006	German	N/A	PAL	N/A	ULES-00342	N/A
ULES-00343	Mondiali FIFA 2006	Italian	N/A	PAL	N/A	ULES-00343	N/A
ULES-00344	FIFA World Cup Germany 2006	Spanish	N/A	PAL	N/A	ULES-00344	N/A
ULES-00347	Capcom Classics Collection Remixed	English	N/A	PAL	N/A	ULES-00347	1.01
ULES-00348	Space Invaders Evolution	Dutch / English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-00348	N/A
ULES-00353	Mortal Kombat: Unchained	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-00353	N/A
ULES-00358	PQ: Practical Intelligence Quotient	English	N/A	PAL	N/A	ULES-00358	N/A
ULES-00363	Astonishia Story	English	N/A	PAL	N/A	ULES-00363	N/A
ULES-00364	Super Monkey Ball Adventure	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-00364	N/A
ULES-003644767977	Super Monkey Ball Adventure	N/A	N/A	PAL	N/A	ULES-003644767977	N/A
